stop_id,stop_name,stop_lat,stop_lon,stop_code,tiploc_code,stop_desc,stop_timezone,wheelchair_boarding,platform_code,parent_station,location_type
9100TENBYBUS,Tenby (Platform BUS),51.67294483154,-4.7066959505,TEN,TENBY,,Europe/London,0,BUS,910GTENBY,0
9100TEYNHAM1,Teynham (Platform 1),51.3336038,0.8070514,TEY,TEYNHAM,,Europe/London,0,1,910GTEYNHAM,0
9100TEYNHAM2,Teynham (Platform 2),51.3336038,0.8070514,TEY,TEYNHAM,,Europe/London,0,2,910GTEYNHAM,0
9100TEYNHAMBUS,Teynham (Platform BUS),51.3336038,0.8070514,TEY,TEYNHAM,,Europe/London,0,BUS,910GTEYNHAM,0
9100THABBEY1,Thornton Abbey (Platform 1),53.6543161,-0.3230242,TNA,THABBEY,,Europe/London,0,1,910GTHABBEY,0
9100THABBEY2,Thornton Abbey (Platform 2),53.6543161,-0.3230242,TNA,THABBEY,,Europe/London,0,2,910GTHABBEY,0
9100THAL1,Thorntonhall (Platform 1),55.7684609,-4.2509187,THT,THAL,,Europe/London,1,1,910GTHAL,0
9100THANETP1,Thanet Parkway (Platform 1),51.3307843,1.3614558,THP,THANETP,,Europe/London,1,1,910GTHANETP,0
9100THANETP2,Thanet Parkway (Platform 2),51.3307843,1.3614558,THP,THANETP,,Europe/London,1,2,910GTHANETP,0
9100THANETPBUS,Thanet Parkway (Platform BUS),51.3307843,1.3614558,THP,THANETP,,Europe/London,1,BUS,910GTHANETP,0
9100THATCHM1,Thatcham (Platform 1),51.3938591,-1.2427417,THA,THATCHM,,Europe/London,0,1,910GTHATCHM,0
9100THATCHM2,Thatcham (Platform 2),51.3938591,-1.2427417,THA,THATCHM,,Europe/London,0,2,910GTHATCHM,0
9100THATCHMBUS,Thatcham (Platform BUS),51.3938591,-1.2427417,THA,THATCHM,,Europe/London,0,BUS,910GTHATCHM,0
9100THBDGSBUS,Three Bridges (Platform BUS),51.1174709,-0.1610653,TBD,THBDGS,,Europe/London,1,BUS,910GTHBDGS,0
9100THBLDSG1,Theobalds Grove (Platform 1),51.6919835,-0.0356103,TEO,THBLDSG,,Europe/London,2,1,910GTHBLDSG,0
9100THBLDSG2,Theobalds Grove (Platform 2),51.6919835,-0.0356103,TEO,THBLDSG,,Europe/London,2,2,910GTHBLDSG,0
